Class,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_JointAverage,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_Imc1,original_glcm_Imc2,original_glcm_Idm,original_glcm_Id,original_glcm_InverseVariance,original_glcm_MaximumProbability,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis
2,150.48,472.48,20884893354,4.424987805,143,6.653827657,1248.48,102.8832748,-102.52,1351,61.77376182,338.7052919,1.234480951,18739988613,0.061429745,20967.22897,337.9487595,17.73349538,88576.21784,1562.381776,110.0439447,16.16140183,0.740529149,2.748775242,2.998073316,8.144406912,0.007221898,8.06053373,-0.157765156,0.82698725,0.342685933,0.418421781,0.336874534,0.019248165,5.255438726,31.55133662,9369.087602,0.059266601,35.33217555,352.7829705,1.556218845,0.007105637,0.004688375,5.09860893,123708.0865,0.777803402,0.868140319,0.210858787,0.901649083,320.8268397,0.004259272,1368.456143,0.040225048,60.0308049,416.5733392,3623.115667,1026484.31,13.60555929,0.005264567,11342.30141,0.333400982,0.596824093,256.8683618,0.003078344,7.29917284,0.186872765,3594.479956,7.594289381,22073.97405,0.121252927,6.759233533,11183.2236,33.60893387,348.6289735,26.36953238,8279.899906,0.111613491,0.004642997,0.17875732,71.95510405
2,36.22,209.22,4146938550,3.4507875,81,5.206296707,542.22,53.67759229,-62.78,605,34.76672443,135.1641116,1.121315055,4016275637,0.113794236,5163.586108,71.32486706,8.078377318,3932.313651,157.4776543,27.67315208,3.416585103,0.776436646,1.160925556,2.024116685,1.976595396,0.030053195,5.928085323,-0.255305541,0.883578244,0.586315842,0.620209832,0.43737198,0.069288946,4.308754142,7.772434295,16680.99316,0.105306301,9.441159924,77.93138437,3.451935827,0.07918425,0.022725339,4.789913857,93825.59147,0.574379735,0.696616949,1.151672443,0.779392903,63.0428898,0.017707255,817.3556086,0.069668906,17.01962504,112.4647971,54549.76142,3128713.543,1145.579828,0.02283177,2727.347426,0.2324708,0.49021771,56.18612057,0.010776269,7.085139821,0.051685324,54175.42204,7.615074937,13238.41057,0.058321815,26.70535833,25830.03984,8.34597793,73.80284507,105.7011794,6434.60921,2.422151062,0.022771832,0.059776151,5.994672425
2,203.56,546.56,32320464035,4.436775245,172,3.655796252,867.56,107.5642135,-121.44,989,72.48728735,413.3504372,-0.742461596,28998463215,0.055770399,19152.2836,480.6578089,21.42941533,36480.57589,-760.691002,98.23920569,12.54163526,0.769251899,2.507113244,2.88080441,5.934503446,0.006457094,7.964656725,-0.176300945,0.859327323,0.35506405,0.430079648,0.345670941,0.014873583,5.268167206,27.69521024,8914.366657,0.054773016,31.63674559,473.9966548,1.611001383,0.006794899,0.004540092,5.12370131,125825.6837,0.767504174,0.860434826,0.235932613,0.896355144,423.7715075,0.004170579,1283.218703,0.041307539,45.13170918,427.1218413,4668.873942,2293309.079,10.99323822,0.007098622,10287.81803,0.331170707,0.595057326,248.9619238,0.00431781,7.193395607,0.164221711,4631.794016,7.680010919,22012.49676,0.116366647,7.045998182,10549.80753,30.72387305,474.9767927,28.4708112,13540.91858,0.096522949,0.004406155,0.163240301,71.90274944
2,167.34,571.34,31112842246,4.695473425,225,3.079123558,1190.34,129.6754374,-175.66,1366,92.71667888,415.4859115,-0.333388745,27914964662,0.044931965,25744.06876,614.0558833,24.17369569,55443.09143,-614.4992876,136.0011024,17.28419281,0.771671881,2.839058286,3.060709741,8.798344086,0.004748746,8.426550196,-0.183883121,0.881531976,0.342033817,0.41716291,0.330637746,0.010697369,5.543271581,38.3213238,6881.748636,0.04418469,42.62248334,608.6555602,1.596239004,0.004246868,0.002838754,5.3667087,121541.1795,0.775460659,0.864131302,0.236091711,0.900579833,546.9339994,0.002606147,1261.304074,0.036134306,59.53458862,558.9186673,2966.106801,1919151.155,5.356297238,0.003963786,12191.26236,0.349259794,0.61186612,339.9555217,0.002495746,7.299092969,0.193674749,2939.447179,7.944213367,21018.83106,0.116622266,7.948455427,8098.088065,41.26456813,609.4191256,28.49279254,17128.19817,0.064821137,0.002769476,0.184851598,105.9552247
2,53.48,210.48,3004641425,3.379713307,75,3.870708001,507.48,48.6339298,-79.52,587,32.03666944,149.2838137,0.039219388,4446241794,0.118327898,4053.159455,103.9922217,10.00239892,1455.525039,-9.858935156,19.72833281,3.954492271,0.659074082,1.342798577,2.169436513,2.059319333,0.026344264,6.027213643,-0.176098378,0.792139029,0.529992258,0.574148452,0.437268311,0.063794382,4.169986191,5.92070627,11045.51067,0.11018765,7.300552891,105.4915174,2.654785208,0.035823405,0.014685112,4.537854837,63527.76049,0.623140466,0.742984016,0.742365965,0.813772209,86.12704348,0.012312507,679.5976253,0.074713899,14.69241487,114.5056069,24094.02792,2535321.606,250.5864001,0.021120289,2429.915787,0.267141138,0.530241962,62.22720236,0.011510976,6.752497817,0.067465733,23874.32618,7.318513684,9170.501988,0.06801832,20.72565471,15953.44052,6.56241319,104.5990551,79.74516407,7967.159742,0.971215118,0.014147026,0.076713452,8.500245244
2,52.86,437.86,16617405888,4.512946225,220,2.420386133,937.86,122.0084359,-149.14,1087,91.55987557,305.6747481,-0.273085046,18826940450,0.049774535,21283.54312,332.3294451,17.50309916,33220.2481,-488.6189565,116.8374238,12.98512801,0.797691899,2.433557756,2.86344906,6.665113862,0.006104199,8.027861177,-0.2054426,0.892367233,0.384288197,0.452965979,0.357100318,0.01550034,5.375205882,32.45563796,7355.508681,0.049369156,34.2858154,333.8437269,1.793156656,0.012178527,0.006688622,5.267811141,111892.9959,0.743109837,0.8382105,0.332138256,0.883064155,295.5045249,0.005966516,1177.307235,0.042654514,41.86994121,322.5456324,4961.725735,1610419.867,27.2878362,0.008682108,8696.314155,0.315072431,0.579323258,187.3621121,0.005101048,7.214665095,0.155196069,4920.20753,7.986216298,18045.88935,0.101469189,11.00725495,8852.201894,34.13918307,331.0288283,38.1151783,11391.07663,0.26100734,0.006656222,0.150940438,49.47950994
2,18.36,160.36,2289581027,3.20453821,69,3.927475461,489.36,43.53370757,-72.64,562,29.37312013,109.4437228,0.320290415,2054250555,0.132188315,3225.91633,57.73909566,7.340931931,1132.014972,14.04381282,17.56790473,2.173196636,0.777171083,0.992151219,1.831338443,1.116232457,0.036446633,5.497885686,-0.261499508,0.873954577,0.607417311,0.638101132,0.449435608,0.081926261,4.062970646,4.935275341,16158.93783,0.125112589,5.768667074,59.84891579,3.796674613,0.116623605,0.030903673,4.606236921,72791.69304,0.544442407,0.674428057,1.316963405,0.758081144,46.25820124,0.023966318,495.6401067,0.082620455,12.66544791,74.18553092,108589.974,5513980.787,2794.784655,0.045504005,1227.160693,0.204560876,0.455354689,34.60080157,0.018761547,7.019062005,0.03138373,107574.6822,7.377648161,11106.45865,0.058103367,26.30644837,25267.79649,5.244621577,57.77462202,115.8902223,5885.507805,3.403773207,0.030305011,0.043204591,2.92186075
2,37.16,181.16,3664964345,3.293301499,74,4.038676467,573.16,46.00675843,-69.84,643,30.73361557,126.5013987,0.177467342,3155421908,0.124703154,3599.992028,68.41024499,8.052925076,1296.12661,10.29154517,17.94986587,3.709801235,0.653994264,1.410930386,2.161004999,1.644771108,0.024003352,6.009687286,-0.146696323,0.747840945,0.48967703,0.541053707,0.449558607,0.05122558,4.102868542,5.414916777,21544.82543,0.119810565,6.250896395,69.57039706,2.10121855,0.055299243,0.029522247,4.288323087,119851.1009,0.659160734,0.785039393,0.428972481,0.836398559,58.34997729,0.025536265,1221.383619,0.07952234,13.18811956,76.12272934,35969.08178,2413315.872,611.2051009,0.051521202,4661.90084,0.30352893,0.567081623,43.4107183,0.029183651,6.426875624,0.067063133,35746.73424,6.934059523,19511.31772,0.085193704,11.28768135,28559.89041,5.838636356,69.31428284,54.70228318,3716.60824,1.213404125,0.028253773,0.081919978,5.993682394
2,62.86,205.86,4458949323,3.221353994,70,3.703274279,447.86,44.62589154,-76.14,524,29.77508612,151.3775907,-0.478322244,4000644229,0.130839834,3337.381765,107.3512638,10.19117185,1088.247655,-40.74569768,16.99783245,3.036128171,0.693023511,1.214059533,2.019556541,1.482524655,0.030368065,5.734723713,-0.184585389,0.791820309,0.544804117,0.585262673,0.461950762,0.07138559,4.035329198,5.008490155,17732.39992,0.123196879,5.903531701,105.4460205,2.593007855,0.031587489,0.013815604,4.392998326,89044.45396,0.607501956,0.73894778,0.662321215,0.802985057,83.69478185,0.011504747,837.9436717,0.082661899,11.85506498,101.8774785,48491.41985,5521371.362,456.2280909,0.020775051,2611.069646,0.257578144,0.518102158,52.63673387,0.010823295,6.638666228,0.052095485,48122.95181,7.103864536,13708.87788,0.070451874,17.07621091,25459.46915,5.420405548,107.090968,77.71915101,8858.938695,0.823750011,0.013160267,0.063748671,6.421604638
2,50.46,193.46,3571096375,3.256559347,74,4.633648046,485.46,46.06325416,-63.54,549,30.67732473,131.9564613,0.826536754,3204047651,0.128690655,3630.430841,71.1513925,8.204058967,1453.036569,55.47982991,18.55756783,3.179601369,0.70196742,1.221994318,2.043337905,1.599918743,0.0297257,5.796192686,-0.193407019,0.805977466,0.549243439,0.589390096,0.452686592,0.071623302,4.09426131,5.434292301,18155.37986,0.120967976,6.466095564,75.38447575,2.757890271,0.055356134,0.020299567,4.459182413,92555.29212,0.604679343,0.731142054,0.771021917,0.800944324,61.6646537,0.01637447,810.4282742,0.076636243,13.40166358,98.54874704,59286.43783,3507508.524,1130.622685,0.024969081,2749.368794,0.259987593,0.52223382,51.57672384,0.013096108,6.750337852,0.051563231,58910.32361,7.231865434,13950.22147,0.068020662,20.07786282,26392.90911,5.889554695,73.07929767,83.92286238,5351.560613,1.664044926,0.020154108,0.06375909,5.681647346
